betty,betty,Some, extra, rows, are, added, at, the , topSome, extra, rows, are, added, at, the , topSome, extra, rows, are, added, at, the , top
betty,betty,8,10.1,1778,2249,3288,4313,5514,-6.89,-7.452,-8.13,-9.463,,,,,,,,,,,
ford,ford,9,11.1,1779,2250,3289,4314,5515,-6.891,-7.453,-8.131,-9.464,,,,,,,,,,,
R,R,10,12.1,1780,2251,3290,4315,5516,-6.892,-7.454,-8.132,-9.465,,,,,,,,,,,
likes,likes,11,13.1,1781,2252,3291,4316,5517,-6.893,-7.455,-8.133,-9.466,,,,,,,,,,,
to ,to ,12,14.1,1782,2253,3292,4317,5518,-6.894,-7.456,-8.134,-9.467,,,,,,,,,,,
sing ,sing ,13,15.1,1783,2254,3293,4318,5519,-6.895,-7.457,-8.135,-9.468,,,,,,,,,,,
bobbalu,bobbalu,14,16.1,1784,2255,3294,4319,5520,-6.896,-7.458,-8.136,-9.469,,,,,,,,,,,
BobbaLu,BobbaLu,15,17.1,1785,2256,3295,4320,5521,-6.897,-7.459,-8.137,-9.47,,,,,,,,,,,
Bobba-Lu,Bobba-Lu,16,18.1,1786,2257,3296,4321,5522,-6.898,-7.46,-8.138,-9.471,,,,,,,,,,,
,,17,19.1,1787,2258,3297,4322,5523,-6.899,-7.461,-8.139,-9.472,,,,,,,,,,,
,,18,20.1,1788,2259,3298,4323,5524,-6.9,-7.462,-8.14,-9.473,,,,,,,,,,,
,,19,21.1,1789,2260,3299,4324,5525,-6.901,-7.463,-8.141,-9.474,,,,,,,,,,,
,,20,22.1,1790,2261,3300,4325,5526,-6.902,-7.464,-8.142,-9.475,,,,,,,,,,,
,,21,23.1,1791,2262,3301,4326,5527,-6.903,-7.465,-8.143,-9.476,,,,,,,,,,,
,,22,24.1,1792,2263,3302,4327,5528,-6.904,-7.466,-8.144,-9.477,,,,,,,,,,,
,,23,25.1,1793,2264,3303,4328,5529,-6.905,-7.467,-8.145,-9.478,,,,,,,,,,,
,,24,26.1,1794,2265,3304,4329,5530,-6.906,-7.468,-8.146,-9.479,,,,,,,,,,,
,,25,27.1,1795,2266,3305,4330,5531,-6.907,-7.469,-8.147,-9.48,,,,,,,,,,,
,,26,28.1,1796,2267,3306,4331,5532,-6.908,-7.47,-8.148,-9.481,,,,,,,,,,,
,,27,29.1,1797,2268,3307,4332,5533,-6.909,-7.471,-8.149,-9.482,,,,,,,,,,,
,,28,30.1,1798,2269,3308,4333,5534,-6.91,-7.472,-8.15,-9.483,,,,,,,,,,,
,,29,31.1,1799,2270,3309,4334,5535,-6.911,-7.473,-8.151,-9.484,,,,,,,,,,,
,,30,32.1,1800,2271,3310,4335,5536,-6.912,-7.474,-8.152,-9.485,,,,,,,,,,,
,,31,33.1,1801,2272,3311,4336,5537,-6.913,-7.475,-8.153,-9.486,,,,,,,,,,,
,,32,34.1,1802,2273,3312,4337,5538,-6.914,-7.476,-8.154,-9.487,,,,,,,,,,,
,,33,35.1,1803,2274,3313,4338,5539,-6.915,-7.477,-8.155,-9.488,,,,,,,,,,,
,,34,36.1,1804,2275,3314,4339,5540,-6.916,-7.478,-8.156,-9.489,,,,,,,,,,,
,,35,37.1,1805,2276,3315,4340,5541,-6.917,-7.479,-8.157,-9.49,,,,,,,,,,,
,,36,38.1,1806,2277,3316,4341,5542,-6.918,-7.48,-8.158,-9.491,,,,,,,,,,,
,,37,39.1,1807,2278,3317,4342,5543,-6.919,-7.481,-8.159,-9.492,,,,,,,,,,,
,,38,40.1,1808,2279,3318,4343,5544,-6.92,-7.482,-8.16,-9.493,,,,,,,,,,,
,,39,41.1,1809,2280,3319,4344,5545,-6.921,-7.483,-8.161,-9.494,,,,,,,,,,,
,,40,42.1,1810,2281,3320,4345,5546,-6.922,-7.484,-8.162,-9.495,,,,,,,,,,,
,,41,43.1,1811,2282,3321,4346,5547,-6.923,-7.485,-8.163,-9.496,,,,,,,,,,,
,,42,44.1,1812,2283,3322,4347,5548,-6.924,-7.486,-8.164,-9.497,,,,,,,,,,,
,,43,45.1,1813,2284,3323,4348,5549,-6.925,-7.487,-8.165,-9.498,,,,,,,,,,,
,,44,46.1,1814,2285,3324,4349,5550,-6.926,-7.488,-8.166,-9.499,,,,,,,,,,,
,,45,47.1,1815,2286,3325,4350,5551,-6.927,-7.489,-8.167,-9.5,,,,,,,,,,,
,,46,48.1,1816,2287,3326,4351,5552,-6.928,-7.49,-8.168,-9.501,,,,,,,,,,,
,,47,49.1,1817,2288,3327,4352,5553,-6.929,-7.491,-8.169,-9.502,,,,,,,,,,,
,,48,50.1,1818,2289,3328,4353,5554,-6.93,-7.492,-8.17,-9.503,,,,,,,,,,,
,,49,51.1,1819,2290,3329,4354,5555,-6.931,-7.493,-8.171,-9.504,,,,,,,,,,,
,,50,52.1,1820,2291,3330,4355,5556,-6.932,-7.494,-8.172,-9.505,,,,,,,,,,,
,,51,53.1,1821,2292,3331,4356,5557,-6.933,-7.495,-8.173,-9.506,,,,,,,,,,,
,,52,54.1,1822,2293,3332,4357,5558,-6.934,-7.496,-8.174,-9.507,,,,,,,,,,,
,,53,55.1,1823,2294,3333,4358,5559,-6.935,-7.497,-8.175,-9.508,,,,,,,,,,,
,,54,56.1,1824,2295,3334,4359,5560,-6.936,-7.498,-8.176,-9.509,,,,,,,,,,,
,,55,57.1,1825,2296,3335,4360,5561,-6.937,-7.499,-8.177,-9.51,,,,,,,,,,,
,,56,58.1,1826,2297,3336,4361,5562,-6.938,-7.5,-8.178,-9.511,,,,,,,,,,,
,,57,59.1,1827,2298,3337,4362,5563,-6.939,-7.501,-8.179,-9.512,,,,,,,,,,,
,,58,60.1,1828,2299,3338,4363,5564,-6.94,-7.502,-8.18,-9.513,,,,,,,,,,,
,,59,61.1,1829,2300,3339,4364,5565,-6.941,-7.503,-8.181,-9.514,,,,,,,,,,,
,,60,62.1,1830,2301,3340,4365,5566,-6.942,-7.504,-8.182,-9.515,,,,,,,,,,,
,,61,63.1,1831,2302,3341,4366,5567,-6.943,-7.505,-8.183,-9.516,,,,,,,,,,,
,,62,64.1,1832,2303,3342,4367,5568,-6.944,-7.506,-8.184,-9.517,,,,,,,,,,,
,,63,65.1,1833,2304,3343,4368,5569,-6.945,-7.507,-8.185,-9.518,,,,,,,,,,,
,,64,66.1,1834,2305,3344,4369,5570,-6.946,-7.508,-8.186,-9.519,,,,,,,,,,,
,,65,67.1,1835,2306,3345,4370,5571,-6.947,-7.509,-8.187,-9.52,,,,,,,,,,,
,,66,68.1,1836,2307,3346,4371,5572,-6.948,-7.51,-8.188,-9.521,,,,,,,,,,,
,,67,69.1,1837,2308,3347,4372,5573,-6.949,-7.511,-8.189,-9.522,,,,,,,,,,,
,,68,70.1,1838,2309,3348,4373,5574,-6.95,-7.512,-8.19,-9.523,,,,,,,,,,,
,,69,71.1,1839,2310,3349,4374,5575,-6.951,-7.513,-8.191,-9.524,,,,,,,,,,,
,,70,72.1,1840,2311,3350,4375,5576,-6.952,-7.514,-8.192,-9.525,,,,,,,,,,,
,,71,73.1,1841,2312,3351,4376,5577,-6.953,-7.515,-8.193,-9.526,,,,,,,,,,,
,,72,74.1,1842,2313,3352,4377,5578,-6.954,-7.516,-8.194,-9.527,,,,,,,,,,,
,,73,75.1,1843,2314,3353,4378,5579,-6.955,-7.517,-8.195,-9.528,,,,,,,,,,,
,,74,76.1,1844,2315,3354,4379,5580,-6.956,-7.518,-8.196,-9.529,,,,,,,,,,,
,,75,77.1,1845,2316,3355,4380,5581,-6.957,-7.519,-8.197,-9.53,,,,,,,,,,,
,,76,78.1,1846,2317,3356,4381,5582,-6.958,-7.52,-8.198,-9.531,,,,,,,,,,,
,,77,79.1,1847,2318,3357,4382,5583,-6.959,-7.521,-8.199,-9.532,,,,,,,,,,,
,,78,80.1,1848,2319,3358,4383,5584,-6.96,-7.522,-8.2,-9.533,,,,,,,,,,,
,,79,81.1,1849,2320,3359,4384,5585,-6.961,-7.523,-8.201,-9.534,,,,,,,,,,,
,,80,82.1,1850,2321,3360,4385,5586,-6.962,-7.524,-8.202,-9.535,,,,,,,,,,,
,,81,83.1,1851,2322,3361,4386,5587,-6.963,-7.525,-8.203,-9.536,,,,,,,,,,,
,,82,84.1,1852,2323,3362,4387,5588,-6.964,-7.526,-8.204,-9.537,,,,,,,,,,,
,,83,85.1,1853,2324,3363,4388,5589,-6.965,-7.527,-8.205,-9.538,,,,,,,,,,,
,,84,86.1,1854,2325,3364,4389,5590,-6.966,-7.528,-8.206,-9.539,,,,,,,,,,,
,,85,87.1,1855,2326,3365,4390,5591,-6.967,-7.529,-8.207,-9.54,,,,,,,,,,,
,,86,88.1,1856,2327,3366,4391,5592,-6.968,-7.53,-8.208,-9.541,,,,,,,,,,,
,,87,89.1,1857,2328,3367,4392,5593,-6.969,-7.531,-8.209,-9.542,,,,,,,,,,,
,,88,90.1,1858,2329,3368,4393,5594,-6.97,-7.532,-8.21,-9.543,,,,,,,,,,,
,,89,91.1,1859,2330,3369,4394,5595,-6.971,-7.533,-8.211,-9.544,,,,,,,,,,,
,,90,92.1,1860,2331,3370,4395,5596,-6.972,-7.534,-8.212,-9.545,,,,,,,,,,,
,,91,93.1,1861,2332,3371,4396,5597,-6.973,-7.535,-8.213,-9.546,,,,,,,,,,,
,,92,94.1,1862,2333,3372,4397,5598,-6.974,-7.536,-8.214,-9.547,,,,,,,,,,,
,,93,95.1,1863,2334,3373,4398,5599,-6.975,-7.537,-8.215,-9.548,,,,,,,,,,,
,,94,96.1,1864,2335,3374,4399,5600,-6.976,-7.538,-8.216,-9.549,,,,,,,,,,,
,,95,97.1,1865,2336,3375,4400,5601,-6.977,-7.539,-8.217,-9.55,,,,,,,,,,,
,,96,98.1,1866,2337,3376,4401,5602,-6.978,-7.54,-8.218,-9.551,,,,,,,,,,,
,,97,99.1,1867,2338,3377,4402,5603,-6.979,-7.541,-8.219,-9.552,,,,,,,,,,,
,,98,100.1,1868,2339,3378,4403,5604,-6.98,-7.542,-8.22,-9.553,,,,,,,,,,,
,,99,101.1,1869,2340,3379,4404,5605,-6.981,-7.543,-8.221,-9.554,,,,,,,,,,,
,,100,102.1,1870,2341,3380,4405,5606,-6.982,-7.544,-8.222,-9.555,,,,,,,,,,,
,,101,103.1,1871,2342,3381,4406,5607,-6.983,-7.545,-8.223,-9.556,,,,,,,,,,,
,,102,104.1,1872,2343,3382,4407,5608,-6.984,-7.546,-8.224,-9.557,,,,,,,,,,,
,,103,105.1,1873,2344,3383,4408,5609,-6.985,-7.547,-8.225,-9.558,,,,,,,,,,,
,,104,106.1,1874,2345,3384,4409,5610,-6.986,-7.548,-8.226,-9.559,,,,,,,,,,,
,,105,107.1,1875,2346,3385,4410,5611,-6.987,-7.549,-8.227,-9.56,,,,,,,,,,,
,,106,108.1,1876,2347,3386,4411,5612,-6.988,-7.55,-8.228,-9.561,,,,,,,,,,,
,,107,109.1,1877,2348,3387,4412,5613,-6.989,-7.551,-8.229,-9.562,,,,,,,,,,,
,,108,110.1,1878,2349,3388,4413,5614,-6.99,-7.552,-8.23,-9.563,,,,,,,,,,,
,,109,111.1,1879,2350,3389,4414,5615,-6.991,-7.553,-8.231,-9.564,,,,,,,,,,,
,,110,112.1,1880,2351,3390,4415,5616,-6.992,-7.554,-8.232,-9.565,,,,,,,,,,,
,,111,113.1,1881,2352,3391,4416,5617,-6.993,-7.555,-8.233,-9.566,,,,,,,,,,,
,,112,114.1,1882,2353,3392,4417,5618,-6.994,-7.556,-8.234,-9.567,,,,,,,,,,,
,,113,115.1,1883,2354,3393,4418,5619,-6.995,-7.557,-8.235,-9.568,,,,,,,,,,,
,,114,116.1,1884,2355,3394,4419,5620,-6.996,-7.558,-8.236,-9.569,,,,,,,,,,,
,,115,117.1,1885,2356,3395,4420,5621,-6.997,-7.559,-8.237,-9.57,,,,,,,,,,,
,,116,118.1,1886,2357,3396,4421,5622,-6.998,-7.56,-8.238,-9.571,,,,,,,,,,,
,,117,119.1,1887,2358,3397,4422,5623,-6.999,-7.561,-8.239,-9.572,,,,,,,,,,,
,,118,120.1,1888,2359,3398,4423,5624,-7,-7.562,-8.24,-9.573,,,,,,,,,,,
,,119,121.1,1889,2360,3399,4424,5625,-7.001,-7.563,-8.241,-9.574,,,,,,,,,,,
,,120,122.1,1890,2361,3400,4425,5626,-7.002,-7.564,-8.242,-9.575,,,,,,,,,,,
,,121,123.1,1891,2362,3401,4426,5627,-7.003,-7.565,-8.243,-9.576,,,,,,,,,,,
,,122,124.1,1892,2363,3402,4427,5628,-7.004,-7.566,-8.244,-9.577,,,,,,,,,,,
,,123,125.1,1893,2364,3403,4428,5629,-7.005,-7.567,-8.245,-9.578,,,,,,,,,,,
,,124,126.1,1894,2365,3404,4429,5630,-7.006,-7.568,-8.246,-9.579,,,,,,,,,,,
,,125,127.1,1895,2366,3405,4430,5631,-7.007,-7.569,-8.247,-9.58,,,,,,,,,,,
,,126,128.1,1896,2367,3406,4431,5632,-7.008,-7.57,-8.248,-9.581,,,,,,,,,,,
,,127,129.1,1897,2368,3407,4432,5633,-7.009,-7.571,-8.249,-9.582,,,,,,,,,,,
,,128,130.1,1898,2369,3408,4433,5634,-7.01,-7.572,-8.25,-9.583,,,,,,,,,,,
,,129,131.1,1899,2370,3409,4434,5635,-7.011,-7.573,-8.251,-9.584,,,,,,,,,,,
,,130,132.1,1900,2371,3410,4435,5636,-7.012,-7.574,-8.252,-9.585,,,,,,,,,,,
,,131,133.1,1901,2372,3411,4436,5637,-7.013,-7.575,-8.253,-9.586,,,,,,,,,,,
,,132,134.1,1902,2373,3412,4437,5638,-7.014,-7.576,-8.254,-9.587,,,,,,,,,,,
,,133,135.1,1903,2374,3413,4438,5639,-7.015,-7.577,-8.255,-9.588,,,,,,,,,,,
,,134,136.1,1904,2375,3414,4439,5640,-7.016,-7.578,-8.256,-9.589,,,,,,,,,,,
,,135,137.1,1905,2376,3415,4440,5641,-7.017,-7.579,-8.257,-9.59,,,,,,,,,,,
,,136,138.1,1906,2377,3416,4441,5642,-7.018,-7.58,-8.258,-9.591,,,,,,,,,,,
,,137,139.1,1907,2378,3417,4442,5643,-7.019,-7.581,-8.259,-9.592,,,,,,,,,,,
,,138,140.1,1908,2379,3418,4443,5644,-7.02,-7.582,-8.26,-9.593,,,,,,,,,,,
,,139,141.1,1909,2380,3419,4444,5645,-7.021,-7.583,-8.261,-9.594,,,,,,,,,,,
,,140,142.1,1910,2381,3420,4445,5646,-7.022,-7.584,-8.262,-9.595,,,,,,,,,,,
,,141,143.1,1911,2382,3421,4446,5647,-7.023,-7.585,-8.263,-9.596,,,,,,,,,,,
,,142,144.1,1912,2383,3422,4447,5648,-7.024,-7.586,-8.264,-9.597,,,,,,,,,,,
,,143,145.1,1913,2384,3423,4448,5649,-7.025,-7.587,-8.265,-9.598,,,,,,,,,,,
,,144,146.1,1914,2385,3424,4449,5650,-7.026,-7.588,-8.266,-9.599,,,,,,,,,,,
,,145,147.1,1915,2386,3425,4450,5651,-7.027,-7.589,-8.267,-9.6,,,,,,,,,,,
,,146,148.1,1916,2387,3426,4451,5652,-7.028,-7.59,-8.268,-9.601,,,,,,,,,,,
,,147,149.1,1917,2388,3427,4452,5653,-7.029,-7.591,-8.269,-9.602,,,,,,,,,,,
,,148,150.1,1918,2389,3428,4453,5654,-7.03,-7.592,-8.27,-9.603,,,,,,,,,,,
,,149,151.1,1919,2390,3429,4454,5655,-7.031,-7.593,-8.271,-9.604,,,,,,,,,,,
,,150,152.1,1920,2391,3430,4455,5656,-7.032,-7.594,-8.272,-9.605,,,,,,,,,,,
,,151,153.1,1921,2392,3431,4456,5657,-7.033,-7.595,-8.273,-9.606,,,,,,,,,,,
,,152,154.1,1922,2393,3432,4457,5658,-7.034,-7.596,-8.274,-9.607,,,,,,,,,,,
,,153,155.1,1923,2394,3433,4458,5659,-7.035,-7.597,-8.275,-9.608,,,,,,,,,,,
,,154,156.1,1924,2395,3434,4459,5660,-7.036,-7.598,-8.276,-9.609,,,,,,,,,,,
,,155,157.1,1925,2396,3435,4460,5661,-7.037,-7.599,-8.277,-9.61,,,,,,,,,,,
,,156,158.1,1926,2397,3436,4461,5662,-7.038,-7.6,-8.278,-9.611,,,,,,,,,,,
,,157,159.1,1927,2398,3437,4462,5663,-7.039,-7.601,-8.279,-9.612,,,,,,,,,,,
,,158,160.1,1928,2399,3438,4463,5664,-7.04,-7.602,-8.28,-9.613,,,,,,,,,,,
,,159,161.1,1929,2400,3439,4464,5665,-7.041,-7.603,-8.281,-9.614,,,,,,,,,,,
,,160,162.1,1930,2401,3440,4465,5666,-7.042,-7.604,-8.282,-9.615,,,,,,,,,,,
,,161,163.1,1931,2402,3441,4466,5667,-7.043,-7.605,-8.283,-9.616,,,,,,,,,,,
,,162,164.1,1932,2403,3442,4467,5668,-7.044,-7.606,-8.284,-9.617,,,,,,,,,,,
,,163,165.1,1933,2404,3443,4468,5669,-7.045,-7.607,-8.285,-9.618,,,,,,,,,,,
,,164,166.1,1934,2405,3444,4469,5670,-7.046,-7.608,-8.286,-9.619,,,,,,,,,,,
,,165,167.1,1935,2406,3445,4470,5671,-7.047,-7.609,-8.287,-9.62,,,,,,,,,,,
,,166,168.1,1936,2407,3446,4471,5672,-7.048,-7.61,-8.288,-9.621,,,,,,,,,,,
,,167,169.1,1937,2408,3447,4472,5673,-7.049,-7.611,-8.289,-9.622,,,,,,,,,,,
,,168,170.1,1938,2409,3448,4473,5674,-7.05,-7.612,-8.29,-9.623,,,,,,,,,,,
,,169,171.1,1939,2410,3449,4474,5675,-7.051,-7.613,-8.291,-9.624,,,,,,,,,,,
,,170,172.1,1940,2411,3450,4475,5676,-7.052,-7.614,-8.292,-9.625,,,,,,,,,,,
,,171,173.1,1941,2412,3451,4476,5677,-7.053,-7.615,-8.293,-9.626,,,,,,,,,,,
,,172,174.1,1942,2413,3452,4477,5678,-7.054,-7.616,-8.294,-9.627,,,,,,,,,,,
,,173,175.1,1943,2414,3453,4478,5679,-7.055,-7.617,-8.295,-9.628,,,,,,,,,,,
,,174,176.1,1944,2415,3454,4479,5680,-7.056,-7.618,-8.296,-9.629,,,,,,,,,,,
,,175,177.1,1945,2416,3455,4480,5681,-7.057,-7.619,-8.297,-9.63,,,,,,,,,,,
,,176,178.1,1946,2417,3456,4481,5682,-7.058,-7.62,-8.298,-9.631,,,,,,,,,,,
,,177,179.1,1947,2418,3457,4482,5683,-7.059,-7.621,-8.299,-9.632,,,,,,,,,,,
,,178,180.1,1948,2419,3458,4483,5684,-7.06,-7.622,-8.3,-9.633,,,,,,,,,,,
,,179,181.1,1949,2420,3459,4484,5685,-7.061,-7.623,-8.301,-9.634,,,,,,,,,,,
,,180,182.1,1950,2421,3460,4485,5686,-7.062,-7.624,-8.302,-9.635,,,,,,,,,,,
,,181,183.1,1951,2422,3461,4486,5687,-7.063,-7.625,-8.303,-9.636,,,,,,,,,,,
,,182,184.1,1952,2423,3462,4487,5688,-7.064,-7.626,-8.304,-9.637,,,,,,,,,,,
,,183,185.1,1953,2424,3463,4488,5689,-7.065,-7.627,-8.305,-9.638,,,,,,,,,,,
